,URL,NameResort,Stars,Km Freeride
138,http://www.skiresort.info/ski-resort/schwemmalm/, Schwemmalm,4,5.0
139,http://www.skiresort.info/ski-resort/brigelswaltensburgandiast/, Brigels/Waltensburg/Andiast,4,0.0
140,http://www.skiresort.info/ski-resort/zauchenseeflachauwinkl/, Zauchensee/Flachauwinkl,4,3.5
141,http://www.skiresort.info/ski-resort/galtuer-silvapark/, Galtür – Silvapark,4,6.0
142,http://www.skiresort.info/ski-resort/gargellen/, Gargellen,4,3.0
143,http://www.skiresort.info/ski-resort/bormio-cima-bianca/, Bormio – Cima Bianca,4,0.0
144,http://www.skiresort.info/ski-resort/kreischberg/, Kreischberg,4,0.0
145,http://www.skiresort.info/ski-resort/les-sybelles-le-corbierla-toussuireles-bottieresst-colomban-des-villardsst-sorlinst-jean-darves/, Les Sybelles – Le Corbier/La Toussuire/Les Bottières/St Colomban des Villards/St Sorlin/St Jean d’Arves,4,0.0
146,http://www.skiresort.info/ski-resort/crans-montana/, Crans-Montana,4,0.0
147,http://www.skiresort.info/ski-resort/bellwald/, Bellwald,4,3.0
148,http://www.skiresort.info/ski-resort/belvederecol-rodellaciampacbuffaure-canazeicampitelloalbapozza-di-fassa/, Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa,4,0.0
149,http://www.skiresort.info/ski-resort/sulden-am-ortler-solda-allortles/, Sulden am Ortler (Solda all'Ortles),4,0.0
150,http://www.skiresort.info/ski-resort/fellhornkanzelwand-oberstdorfriezlern/, Fellhorn/Kanzelwand – Oberstdorf/Riezlern,4,2.0
151,http://www.skiresort.info/ski-resort/trysil/, Trysil,4,0.0
152,http://www.skiresort.info/ski-resort/nassfeld-hermagor/, Nassfeld – Hermagor,4,0.0
153,http://www.skiresort.info/ski-resort/kappl/, Kappl,4,2.0
154,http://www.skiresort.info/ski-resort/hinterstoder-hoess/, Hinterstoder – Höss,4,0.0
155,http://www.skiresort.info/ski-resort/diedamskopf-schoppernau/, Diedamskopf – Schoppernau,4,0.0
156,http://www.skiresort.info/ski-resort/baqueiraberet/, Baqueira/Beret,4,5.0
157,http://www.skiresort.info/ski-resort/grand-tourmaletpic-du-midi-la-mongiebareges/, Grand Tourmalet/Pic du Midi – La Mongie/Barèges,4,0.0
158,http://www.skiresort.info/ski-resort/espace-diamant-les-saisiesnotre-dame-de-bellecombepraz-sur-arlyflumetcrest-voland/, Espace Diamant – Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland,4,0.0
159,http://www.skiresort.info/ski-resort/zettersfeld-lienz/,. Zettersfeld – Lienz,3,2.7
160,http://www.skiresort.info/ski-resort/arber/,. Arber,3,5.0
161,http://www.skiresort.info/ski-resort/san-martino-di-castrozza/,. San Martino di Castrozza,3,0.0
162,http://www.skiresort.info/ski-resort/almenwelt-lofer/,. Almenwelt Lofer,3,0.0
163,http://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,3,2.0
164,http://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,. Sillian – Thurntaler (Hochpustertal),3,0.7
165,http://www.skiresort.info/ski-resort/racines-giovo-ratschings-jaufenmalga-calice-kalcheralm/,. Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm),3,0.0
166,http://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,. St. Jakob im Defereggental – Brunnalm,3,6.7
167,http://www.skiresort.info/ski-resort/spieljoch-fuegen/,. Spieljoch – Fügen,3,4.0
168,http://www.skiresort.info/ski-resort/wildhaus-gamserrugg-toggenburg/,. Wildhaus – Gamserrugg (Toggenburg),3,12.0
169,http://www.skiresort.info/ski-resort/glungezer-tulfes/,. Glungezer – Tulfes,3,0.0
170,http://www.skiresort.info/ski-resort/rosskopf-monte-cavallo-sterzing-vipiteno/,. Rosskopf (Monte Cavallo) – Sterzing (Vipiteno),3,0.0
171,http://www.skiresort.info/ski-resort/schlick-2000-fulpmes/,. Schlick 2000 – Fulpmes,3,1.5
172,http://www.skiresort.info/ski-resort/folgariafiorentini/,. Folgaria/Fiorentini,3,0.0
173,http://www.skiresort.info/ski-resort/ladurns/,. Ladurns,3,0.0
174,http://www.skiresort.info/ski-resort/paganella-andalo/,. Paganella – Andalo,3,2.0
